imputation_technique,missing_rate,rmse,nrmse_range,nrmse_std,mae,mape,fam,dtw_magnitude,dtw_shape,valid_pairs
Linear,40,40.869770,0.157685,0.614616,21.619167,2.868890,95.000000,213.969772,0.827940,50
Kalman,40,180.272771,0.695533,2.711012,58.216632,7.771630,89.285714,1140.972186,2.217704,50
LOCF,40,55.092359,0.212559,0.828500,26.711861,3.511865,93.500000,165.691798,0.657402,50
KNN-Sklearn,40,43.435951,0.167586,0.653207,22.461686,2.932991,95.000000,196.515333,0.758043,50
SVD-KNN-Hankel,40,46.090637,0.177828,0.693129,25.141160,3.317445,93.500000,204.588924,0.800161,50
HoltWinters,40,44.580260,0.172001,0.670415,23.040248,2.980407,95.000000,201.529868,0.786252,50
ARIMA,40,52.205538,0.201421,0.785087,25.005413,3.281126,94.000000,172.308768,0.676338,50
Mean,40,43.435951,0.167586,0.653207,22.461686,2.932991,95.000000,196.515333,0.758043,50
SVD-KNN,40,47.833542,0.184553,0.719339,24.407148,3.249474,95.000000,199.622366,0.784478,50
Spline,40,57.619926,0.222311,0.866511,28.794246,3.825525,93.500000,214.780375,0.841043,50
