imputation_technique,missing_rate,rmse,nrmse_range,nrmse_std,mae,mape,fam,dtw_magnitude,dtw_shape,valid_pairs
HoltWinters,40,35.192319,0.112269,0.602997,16.250834,2.145292,96.590909,193.802136,0.618258,66
SVD-KNN,40,42.349756,0.135102,0.725635,19.433043,2.632086,94.318182,212.714998,0.678593,66
ARIMA,40,37.699060,0.120266,0.645949,16.402798,2.194780,96.212121,211.948890,0.676149,66
KNN-Sklearn,40,27.782039,0.088629,0.476027,13.775610,1.851117,96.969697,200.254014,0.638841,66
Linear,40,35.824218,0.114285,0.613825,16.406482,2.203262,95.833333,237.727302,0.758386,66
Spline,40,44.515600,0.142011,0.762746,19.974806,2.665851,94.696970,211.085854,0.669824,66
Mean,40,27.782039,0.088629,0.476027,13.775610,1.851117,96.969697,200.254014,0.638841,66
LOCF,40,43.186355,0.137771,0.739970,18.764657,2.500996,95.833333,207.769906,0.662817,66
Kalman,40,173.364513,0.553059,2.970488,68.091985,9.110583,85.769231,1073.741418,1.427602,66
SVD-KNN-Hankel,40,27.055283,0.086310,0.463575,13.118507,1.770789,96.969697,199.610749,0.636788,66
