imputation_technique,missing_rate,rmse,nrmse_range,nrmse_std,mae,mape,fam,dtw_magnitude,dtw_shape,valid_pairs
Linear,40,56.426492,0.126841,0.729679,25.409226,3.404813,94.144144,458.243230,1.030084,111
LOCF,40,61.314771,0.137829,0.792891,29.210119,3.832409,93.468468,436.878025,0.982058,111
SVD-KNN-Hankel,40,51.341032,0.115409,0.663916,22.459403,3.077085,94.369369,412.143122,0.926456,111
Mean,40,51.284216,0.115282,0.663181,23.519120,3.167260,94.369369,438.423955,0.985533,111
ARIMA,40,56.040945,0.125974,0.724693,26.406716,3.512492,93.918919,459.255352,1.032360,111
Kalman,40,107.381166,0.241382,1.388599,45.391206,5.895991,90.090090,810.709628,1.314670,111
HoltWinters,40,65.039263,0.146202,0.841055,29.632720,3.966958,92.342342,439.712393,0.988429,111
KNN-Sklearn,40,51.284216,0.115282,0.663181,23.519120,3.167260,94.369369,438.423955,0.985533,111
SVD-KNN,40,55.954106,0.125779,0.723570,25.198209,3.390223,94.144144,441.990980,0.993551,111
Spline,40,73.264662,0.164692,0.947421,36.583848,4.792293,90.765766,491.917531,1.211314,111
