imputation_technique,missing_rate,rmse,nrmse_range,nrmse_std,mae,mape,fam,dtw_magnitude,dtw_shape,valid_pairs
LOCF,40,35.042430,0.164256,1.062339,13.435716,9.804077,97.330097,197.244438,0.921443,103
ARIMA,40,25.843971,0.121140,0.783481,10.837341,7.820345,98.300971,218.621240,1.025334,103
KNN-Sklearn,40,18.609141,0.087228,0.564151,8.483551,6.247383,98.786408,155.699166,0.730850,103
Mean,40,18.609141,0.087228,0.564151,8.483551,6.247383,98.786408,155.699166,0.730850,103
Kalman,40,37.237491,0.174545,1.128884,16.404874,11.579404,96.813725,301.023685,2.280281,103
SVD-KNN,40,19.998476,0.093740,0.606270,9.024140,6.576117,98.786408,166.003280,0.776098,103
Spline,40,59.723642,0.279946,1.810570,22.716073,16.890331,95.833333,439.162016,3.136966,103
Linear,40,30.057041,0.140888,0.911203,12.898633,9.418748,98.058252,224.460551,1.056702,103
SVD-KNN-Hankel,40,18.202392,0.085321,0.551820,7.945691,5.528829,98.786408,154.803822,0.728785,103
HoltWinters,40,30.358072,0.142299,0.920329,13.197917,9.536302,97.572816,219.440677,1.137172,103
