imputation_technique,missing_rate,rmse,nrmse_range,nrmse_std,mae,mape,fam,dtw_magnitude,dtw_shape,valid_pairs
SVD-KNN-Hankel,40,9.931875,0.161912,0.744044,5.100770,0.569637,95.491803,84.543725,1.387912,122
Kalman,40,137.446956,2.240700,10.296808,37.072363,4.133331,91.115702,1474.725742,2.676993,122
LOCF,40,11.137285,0.181563,0.834347,5.358803,0.595898,96.106557,78.440313,1.303850,122
Linear,40,11.271414,0.183750,0.844395,5.792493,0.646480,95.696721,89.204427,1.473668,122
SVD-KNN,40,10.555823,0.172084,0.790787,5.489050,0.612599,95.286885,80.675717,1.311987,122
ARIMA,40,11.462391,0.186863,0.858702,5.686451,0.633284,95.696721,85.231566,1.415944,122
Spline,40,12.366884,0.201608,0.926462,6.344691,0.706497,95.901639,84.172129,1.380561,122
HoltWinters,40,11.010417,0.179495,0.824843,5.730795,0.640285,94.672131,83.979601,1.373658,122
Mean,40,9.733127,0.158672,0.729155,5.010759,0.559135,95.081967,81.630578,1.373687,122
KNN-Sklearn,40,9.733127,0.158672,0.729155,5.010759,0.559135,95.081967,81.630578,1.373687,122
