imputation_technique,missing_rate,rmse,nrmse_range,nrmse_std,mae,mape,fam,dtw_magnitude,dtw_shape,valid_pairs
SVD-KNN,40,31.595042,0.149531,0.771709,14.559969,1.739604,96.693122,298.435226,1.435593,189
HoltWinters,40,31.093873,0.147160,0.759468,14.365489,1.710598,96.825397,310.042955,1.508292,189
KNN-Sklearn,40,27.308328,0.129244,0.667006,12.760362,1.523224,97.089947,301.561795,1.446840,189
ARIMA,40,34.432382,0.162960,0.841011,16.426366,1.935183,96.164021,312.012063,1.507609,189
Spline,40,40.130604,0.189928,0.980190,19.041832,2.243416,95.238095,338.560712,1.986691,189
Kalman,40,102.003897,0.482759,2.491446,34.667249,4.083380,92.021277,1110.470205,2.118473,189
Mean,40,27.308328,0.129244,0.667006,12.760362,1.523224,97.089947,301.561795,1.446840,189
LOCF,40,36.542649,0.172947,0.892555,17.380804,2.043920,95.767196,323.063149,1.602157,189
SVD-KNN-Hankel,40,28.675955,0.135716,0.700410,12.880816,1.548016,97.089947,303.536275,1.436219,189
Linear,40,31.822813,0.150609,0.777273,14.524319,1.720167,96.693122,324.184850,1.542778,189
