imputation_technique,missing_rate,rmse,nrmse_range,nrmse_std,mae,mape,fam,dtw_magnitude,dtw_shape,valid_pairs
KNN-Sklearn,40,41.211263,0.172883,0.582912,18.265532,2.260777,94.565217,156.071962,0.654730,23
SVD-KNN,40,53.918751,0.226192,0.762652,21.711377,2.752402,94.565217,165.985419,0.696318,23
Linear,40,45.510265,0.190918,0.643719,19.246198,2.318142,94.565217,159.573919,0.669421,23
LOCF,40,52.154037,0.218789,0.737691,24.360914,2.935927,93.478261,143.479064,0.601902,23
Spline,40,75.611488,0.317194,1.069484,25.397877,3.153700,91.304348,201.946442,1.248745,23
ARIMA,40,51.614856,0.216527,0.730065,24.230598,2.914954,93.478261,146.073808,0.612787,23
SVD-KNN-Hankel,40,42.509687,0.178330,0.601277,19.631995,2.407317,94.565217,158.338114,0.664237,23
Mean,40,41.211263,0.172883,0.582912,18.265532,2.260777,94.565217,156.071962,0.654730,23
HoltWinters,40,40.610316,0.170362,0.574411,18.649654,2.194867,95.652174,113.427841,0.475836,23
Kalman,40,324.224231,1.360138,4.585980,122.417425,14.305664,87.500000,1313.940778,0.965796,23
