imputation_technique,missing_rate,rmse,nrmse_range,nrmse_std,mae,mape,fam,dtw_magnitude,dtw_shape,valid_pairs
LOCF,40,114.953948,0.192370,0.956077,42.850926,7.479225,89.024390,427.437318,0.762759,41
KNN-Sklearn,40,86.466322,0.144697,0.719144,28.783714,5.477403,92.682927,382.071415,0.640981,41
SVD-KNN-Hankel,40,90.936024,0.152177,0.756319,27.513302,5.527072,93.292683,346.120162,0.514712,41
Mean,40,86.466322,0.144697,0.719144,28.783714,5.477403,92.682927,382.071415,0.640981,41
SVD-KNN,40,85.943264,0.143822,0.714794,29.805055,5.556484,92.682927,379.779327,0.643016,41
HoltWinters,40,90.888801,0.152098,0.755926,31.562976,5.857577,92.682927,391.069583,0.751227,41
Spline,40,121.985605,0.204137,1.014560,49.903190,8.209338,89.024390,544.216498,1.602599,41
Kalman,40,260.758699,0.436368,2.168742,106.630658,13.654952,78.750000,1310.724379,1.233905,41
ARIMA,40,103.420460,0.173069,0.860153,36.098566,6.566952,92.073171,391.844113,0.674994,41
Linear,40,98.243832,0.164407,0.817099,32.952112,6.171190,92.682927,419.157209,0.691359,41
