imputation_technique,missing_rate,rmse,nrmse_range,nrmse_std,mae,mape,fam,dtw_magnitude,dtw_shape,valid_pairs
Kalman,10,66.254185,0.313565,1.618259,8.808781,1.013671,98.936170,775.540215,2.689453,189
LOCF,10,12.372472,0.058556,0.302198,2.899072,0.339794,99.338624,130.384827,0.617079,189
HoltWinters,10,10.696644,0.050625,0.261266,2.562168,0.300097,99.470899,126.373298,0.598093,189
SVD-KNN-Hankel,10,12.453789,0.058941,0.304184,2.880806,0.336143,99.470899,125.496439,0.593943,189
Spline,10,10.518404,0.049781,0.256912,2.518152,0.295889,99.603175,117.445008,0.555838,189
KNN-Sklearn,10,10.694791,0.050616,0.261220,2.585419,0.300979,99.470899,123.548049,0.584722,189
SVD-KNN,10,11.386206,0.053888,0.278108,2.454343,0.289638,99.470899,122.983075,0.582048,189
Linear,10,11.281089,0.053391,0.275541,2.577254,0.302827,99.470899,133.775049,0.633124,189
ARIMA,10,13.489315,0.063842,0.329477,3.161218,0.369954,99.206349,136.685550,0.646899,189
Mean,10,10.694791,0.050616,0.261220,2.585419,0.300979,99.470899,123.548049,0.584722,189
