imputation_technique,missing_rate,rmse,nrmse_range,nrmse_std,mae,mape,fam,dtw_magnitude,dtw_shape,valid_pairs
Spline,10,25.227808,0.080481,0.432262,5.445153,0.680948,98.484848,96.991382,0.309417,66
LOCF,10,16.370203,0.052223,0.280493,3.085949,0.380629,99.242424,85.673149,0.273310,66
SVD-KNN,10,21.484010,0.068537,0.368114,4.650445,0.581018,98.484848,124.395436,0.396840,66
ARIMA,10,14.664652,0.046782,0.251269,2.844369,0.349079,99.242424,87.232223,0.278284,66
Kalman,10,112.437883,0.358694,1.926550,16.400445,2.171325,99.230769,780.916658,2.014301,66
HoltWinters,10,23.284861,0.074282,0.398971,4.078283,0.497539,98.863636,102.593338,0.327288,66
KNN-Sklearn,10,12.439320,0.039683,0.213140,2.720947,0.336029,99.242424,90.446453,0.288538,66
Linear,10,16.493646,0.052617,0.282608,3.374044,0.416138,99.242424,108.715505,0.346819,66
Mean,10,12.439320,0.039683,0.213140,2.720947,0.336029,99.242424,90.446453,0.288538,66
SVD-KNN-Hankel,10,11.799254,0.037641,0.202173,2.695122,0.335627,99.242424,83.507699,0.266402,66
