imputation_technique,missing_rate,rmse,nrmse_range,nrmse_std,mae,mape,fam,dtw_magnitude,dtw_shape,valid_pairs
Kalman,10,162.882438,0.272576,1.354701,29.171364,3.158163,98.125000,862.764699,0.874714,41
LOCF,10,43.527342,0.072841,0.362019,9.832452,1.076673,96.341463,80.035495,0.133936,41
Spline,10,42.814808,0.071649,0.356093,9.944795,1.087503,97.560976,86.427486,0.144632,41
KNN-Sklearn,10,18.593842,0.031116,0.154646,4.989265,0.544592,98.170732,118.471173,0.198256,41
HoltWinters,10,16.531092,0.027664,0.137490,3.826870,0.415940,98.170732,105.125117,0.175922,41
SVD-KNN,10,13.832558,0.023148,0.115046,2.999677,0.326592,98.170732,85.930382,0.143801,41
SVD-KNN-Hankel,10,7.788074,0.013033,0.064774,2.014158,0.220047,98.780488,49.868005,0.083452,41
Mean,10,18.593842,0.031116,0.154646,4.989265,0.544592,98.170732,118.471173,0.198256,41
ARIMA,10,38.429920,0.064311,0.319623,8.440735,0.918402,96.341463,135.551908,0.226840,41
Linear,10,26.308352,0.044026,0.218808,6.213379,0.678967,98.170732,142.307069,0.238144,41
