imputation_technique,missing_rate,rmse,nrmse_range,nrmse_std,mae,mape,fam,dtw_magnitude,dtw_shape,valid_pairs
LOCF,10,34.232230,0.143606,0.484197,9.700130,1.055183,96.739130,36.975635,0.155115,23
ARIMA,10,32.619942,0.136842,0.461392,9.471248,1.030916,96.739130,41.344343,0.173442,23
SVD-KNN,10,23.158279,0.097150,0.327562,6.540296,0.713774,97.826087,58.060579,0.243567,23
SVD-KNN-Hankel,10,20.576360,0.086319,0.291042,5.949647,0.647519,97.826087,75.945017,0.318593,23
HoltWinters,10,25.491196,0.106937,0.360559,7.020372,0.763278,97.826087,57.180824,0.239877,23
Kalman,10,244.010672,1.023638,3.451402,53.916106,5.903076,100.000000,991.617565,1.211681,23
Mean,10,20.088227,0.084271,0.284137,5.907230,0.643349,97.826087,76.606996,0.321370,23
KNN-Sklearn,10,20.088227,0.084271,0.284137,5.907230,0.643349,97.826087,76.606996,0.321370,23
Spline,10,18.854476,0.079096,0.266687,4.828743,0.524449,97.826087,69.706343,0.292422,23
Linear,10,19.583442,0.082154,0.276997,5.218839,0.567123,97.826087,71.774990,0.301100,23
