imputation_technique,missing_rate,rmse,nrmse_range,nrmse_std,mae,mape,fam,dtw_magnitude,dtw_shape,valid_pairs
LOCF,10,5.488600,0.052343,0.315859,1.446763,0.162011,98.907104,60.814213,0.579960,183
SVD-KNN-Hankel,10,4.174388,0.039809,0.240229,0.924843,0.102542,99.316940,41.090429,0.391862,183
SVD-KNN,10,4.002917,0.038174,0.230361,1.048300,0.116701,99.043716,49.531718,0.472364,183
Linear,10,6.251255,0.059616,0.359749,1.450042,0.160912,99.043716,63.724865,0.607718,183
Mean,10,4.106161,0.039159,0.236302,0.930317,0.103145,99.180328,38.126823,0.363600,183
Kalman,10,84.138903,0.802398,4.842048,8.492225,0.952097,98.901099,1080.711767,3.991416,183
HoltWinters,10,3.754989,0.035810,0.216093,0.983937,0.109311,99.043716,48.134180,0.459036,183
Spline,10,7.526275,0.071775,0.433124,1.646715,0.182598,98.770492,54.496240,0.519708,183
ARIMA,10,5.515551,0.052600,0.317410,1.484508,0.166174,98.770492,61.221682,0.583846,183
KNN-Sklearn,10,4.106161,0.039159,0.236302,0.930317,0.103145,99.180328,38.126823,0.363600,183
