imputation_technique,missing_rate,rmse,nrmse_range,nrmse_std,mae,mape,fam,dtw_magnitude,dtw_shape,valid_pairs
KNN-Sklearn,10,15.356527,0.034520,0.198583,3.715008,0.419504,99.549550,138.991130,0.312438,111
Linear,10,20.667971,0.046460,0.267268,4.612490,0.534768,99.099099,176.635878,0.397060,111
SVD-KNN,10,14.193083,0.031905,0.183538,3.532346,0.403978,99.324324,126.248718,0.283794,111
Mean,10,15.356527,0.034520,0.198583,3.715008,0.419504,99.549550,138.991130,0.312438,111
ARIMA,10,21.413157,0.048135,0.276904,5.655573,0.654693,98.648649,184.424377,0.414567,111
Kalman,10,100.902492,0.226819,1.304820,15.355657,1.845748,98.181818,889.949782,1.624645,111
LOCF,10,36.534463,0.082126,0.472445,8.245933,0.969914,98.198198,132.768382,0.298450,111
SVD-KNN-Hankel,10,14.176148,0.031867,0.183319,3.567988,0.409794,99.324324,141.608317,0.318321,111
HoltWinters,10,22.701501,0.051031,0.293564,5.783631,0.660861,98.873874,165.934325,0.373004,111
Spline,10,30.761242,0.069148,0.397789,7.589233,0.882085,98.423423,182.694591,0.619065,111
