imputation_technique,missing_rate,rmse,nrmse_range,nrmse_std,mae,mape,fam,dtw_magnitude,dtw_shape,valid_pairs
SVD-KNN-Hankel,10,17.655903,0.068120,0.265516,3.998684,0.491969,99.500000,58.457260,0.225541,50
LOCF,10,7.565297,0.029189,0.113770,1.695231,0.222541,100.000000,53.494726,0.206395,50
Mean,10,18.222939,0.070308,0.274044,3.482492,0.416334,99.500000,57.855607,0.223220,50
KNN-Sklearn,10,18.222939,0.070308,0.274044,3.482492,0.416334,99.500000,57.855607,0.223220,50
Spline,10,16.724513,0.064527,0.251510,4.012802,0.505894,99.500000,69.608884,0.268567,50
ARIMA,10,8.954829,0.034550,0.134666,1.950463,0.257583,100.000000,61.744252,0.238223,50
Kalman,10,154.044139,0.594337,2.316576,23.948188,3.260081,98.979592,1041.763673,2.729795,50
HoltWinters,10,10.293391,0.039714,0.154796,2.024042,0.264063,99.500000,43.539477,0.167985,50
SVD-KNN,10,20.915083,0.080695,0.314529,4.155344,0.504352,99.000000,58.083276,0.224098,50
Linear,10,12.547044,0.048409,0.188687,3.054766,0.387700,100.000000,69.427781,0.267868,50
