imputation_technique,missing_rate,rmse,nrmse_range,nrmse_std,mae,mape,fam,dtw_magnitude,dtw_shape,valid_pairs
ARIMA,10,4.041450,0.065885,0.302764,0.979401,0.109860,98.975410,35.935918,0.585838,122
SVD-KNN,10,4.711329,0.076805,0.352948,1.198989,0.134792,98.770492,32.075587,0.522905,122
Kalman,10,96.934353,1.580252,7.261816,11.369845,1.283080,98.347107,1061.423209,4.437847,122
LOCF,10,4.093633,0.066736,0.306674,0.947541,0.106345,98.975410,35.264206,0.574887,122
Linear,10,4.913874,0.080107,0.368122,1.291325,0.144912,98.565574,39.134644,0.637984,122
Spline,10,7.464739,0.121692,0.559219,1.986563,0.222585,98.565574,44.936587,0.743914,122
KNN-Sklearn,10,4.102872,0.066886,0.307366,1.007200,0.113563,98.360656,36.457627,0.594343,122
HoltWinters,10,5.320515,0.086737,0.398585,1.393575,0.156617,98.360656,38.646615,0.630028,122
SVD-KNN-Hankel,10,4.152913,0.067702,0.311115,1.014259,0.114377,98.360656,36.241122,0.590813,122
Mean,10,4.102872,0.066886,0.307366,1.007200,0.113563,98.360656,36.457627,0.594343,122
