imputation_technique,missing_rate,rmse,nrmse_range,nrmse_std,mae,mape,fam,dtw_magnitude,dtw_shape,valid_pairs
ARIMA,10,28.983387,0.107623,0.521820,6.356127,0.322491,98.611111,173.900322,0.680864,36
Mean,10,30.361622,0.112741,0.546633,6.917982,0.348932,97.916667,174.991936,0.671171,36
KNN-Sklearn,10,30.361622,0.112741,0.546633,6.917982,0.348932,97.916667,174.991936,0.671171,36
SVD-KNN-Hankel,10,31.585188,0.117284,0.568663,7.053332,0.356970,97.916667,187.797071,0.718062,36
Spline,10,45.357987,0.168426,0.816629,10.649132,0.535108,97.222222,177.304656,0.682691,36
LOCF,10,28.595205,0.106182,0.514831,6.072588,0.309105,98.611111,171.571233,0.667460,36
Kalman,10,583.699431,2.167430,10.508979,129.069934,6.263434,98.529412,3252.853025,1.241563,36
SVD-KNN,10,29.280195,0.108725,0.527163,7.078924,0.354373,98.611111,169.619473,0.635349,36
Linear,10,40.256424,0.149483,0.724780,9.619275,0.483420,97.916667,191.572899,0.728973,36
HoltWinters,10,37.094485,0.137742,0.667853,8.348026,0.421677,97.916667,196.951188,0.746497,36
