imputation_technique,missing_rate,rmse,nrmse_range,nrmse_std,mae,mape,fam,dtw_magnitude,dtw_shape,valid_pairs
HoltWinters,10,11.015759,0.051635,0.333952,2.616033,1.598020,99.757282,85.195185,0.399340,103
ARIMA,10,10.276773,0.048171,0.311549,2.231072,1.322128,99.757282,86.838051,0.407041,103
Linear,10,9.968061,0.046724,0.302190,2.173315,1.282428,99.757282,79.401517,0.372183,103
KNN-Sklearn,10,8.963651,0.042016,0.271740,1.896030,1.120318,99.757282,72.372645,0.339236,103
SVD-KNN,10,11.339455,0.053152,0.343765,2.515476,1.494303,99.757282,82.346338,0.385987,103
LOCF,10,7.335417,0.034384,0.222379,1.791494,1.103760,99.757282,71.896741,0.337006,103
Kalman,10,24.713516,0.115841,0.749210,5.155032,3.311862,99.754902,214.809760,2.541645,103
SVD-KNN-Hankel,10,10.013684,0.046938,0.303573,2.171486,1.265968,99.757282,75.738231,0.355012,103
Spline,10,12.151991,0.056961,0.368397,2.747946,1.664012,99.514563,72.103574,0.337975,103
Mean,10,8.963651,0.042016,0.271740,1.896030,1.120318,99.757282,72.372645,0.339236,103
