imputation_technique,missing_rate,rmse,nrmse_range,nrmse_std,mae,mape,fam,dtw_magnitude,dtw_shape,valid_pairs
Kalman,15,113.269043,0.254617,1.464738,24.995885,2.997415,95.681818,951.118122,1.568195,111
ARIMA,15,30.932068,0.069532,0.399998,10.415515,1.245975,97.297297,258.691968,0.581513,111
LOCF,15,48.907983,0.109940,0.632453,14.311862,1.730298,96.846847,199.891867,0.449337,111
KNN-Sklearn,15,21.368514,0.048034,0.276327,6.863199,0.811038,98.873874,197.439511,0.443824,111
Mean,15,21.368514,0.048034,0.276327,6.863199,0.811038,98.873874,197.439511,0.443824,111
SVD-KNN-Hankel,15,21.538146,0.048416,0.278520,6.952578,0.840241,98.648649,195.991768,0.440570,111
HoltWinters,15,28.463889,0.063984,0.368081,9.106847,1.079923,98.423423,209.373495,0.470650,111
Spline,15,33.903536,0.076212,0.438423,10.436546,1.250987,97.747748,233.007428,0.677393,111
Linear,15,27.628602,0.062106,0.357279,8.298200,0.999021,97.972973,241.374208,0.542585,111
SVD-KNN,15,21.769168,0.048935,0.281508,6.599191,0.788946,98.198198,182.636991,0.410549,111
