imputation_technique,missing_rate,rmse,nrmse_range,nrmse_std,mae,mape,fam,dtw_magnitude,dtw_shape,valid_pairs
KNN-Sklearn,15,18.485892,0.058973,0.316744,6.214719,0.819228,98.863636,135.612864,0.432626,66
Linear,15,25.393680,0.081010,0.435104,8.272961,1.096058,98.484848,162.517699,0.518456,66
Mean,15,18.485892,0.058973,0.316744,6.214719,0.819228,98.863636,135.612864,0.432626,66
HoltWinters,15,26.028516,0.083035,0.445982,8.002388,1.054328,98.106061,136.895829,0.436718,66
Spline,15,36.321225,0.115870,0.622340,11.004511,1.460771,96.969697,137.308331,0.469075,66
SVD-KNN-Hankel,15,16.129620,0.051456,0.276371,5.459756,0.720311,98.863636,125.068261,0.398987,66
SVD-KNN,15,20.471068,0.065306,0.350758,6.494513,0.857913,98.863636,130.480428,0.416252,66
Kalman,15,128.134861,0.408770,2.195507,25.178100,3.411658,96.538462,887.509870,1.571158,66
ARIMA,15,21.595819,0.068894,0.370030,6.554690,0.867247,98.863636,128.842836,0.411028,66
LOCF,15,25.739836,0.082114,0.441035,8.086701,1.072498,98.484848,130.101910,0.415045,66
