imputation_technique,missing_rate,rmse,nrmse_range,nrmse_std,mae,mape,fam,dtw_magnitude,dtw_shape,valid_pairs
SVD-KNN-Hankel,15,31.513115,0.117017,0.567365,7.165831,0.362446,97.916667,187.146944,0.712441,36
SVD-KNN,15,27.825356,0.103323,0.500970,7.219934,0.360673,98.611111,166.952136,0.639240,36
KNN-Sklearn,15,30.645639,0.113795,0.551747,7.516749,0.377970,97.916667,177.042745,0.671847,36
HoltWinters,15,39.983893,0.148471,0.719874,10.289668,0.516821,97.222222,196.414753,0.736188,36
Spline,15,45.951236,0.170629,0.827310,11.822417,0.591744,96.527778,179.644414,0.690469,36
Kalman,15,608.724060,2.260353,10.959525,144.999363,6.926009,95.000000,3426.697350,1.556242,36
ARIMA,15,30.649240,0.113809,0.551812,8.013518,0.402546,97.916667,174.890034,0.679945,36
Linear,15,40.852111,0.151695,0.735505,10.777762,0.539367,97.222222,193.848895,0.736660,36
LOCF,15,30.549129,0.113437,0.550009,7.864263,0.395630,97.916667,172.610269,0.666128,36
Mean,15,30.645639,0.113795,0.551747,7.516749,0.377970,97.916667,177.042745,0.671847,36
