imputation_technique,missing_rate,rmse,nrmse_range,nrmse_std,mae,mape,fam,dtw_magnitude,dtw_shape,valid_pairs
LOCF,15,34.892276,0.146375,0.493533,11.108572,1.219755,96.739130,45.463880,0.190723,23
ARIMA,15,32.954439,0.138246,0.466123,10.413522,1.140957,96.739130,46.552433,0.195290,23
Mean,15,20.216495,0.084809,0.285952,6.202591,0.677659,97.826087,77.075438,0.323336,23
Spline,15,20.179346,0.084653,0.285426,6.317054,0.698602,97.826087,74.355085,0.311923,23
Linear,15,20.522001,0.086091,0.290273,6.498128,0.716604,97.826087,76.552205,0.321141,23
KNN-Sklearn,15,20.216495,0.084809,0.285952,6.202591,0.677659,97.826087,77.075438,0.323336,23
HoltWinters,15,25.616822,0.107464,0.362336,7.477268,0.816787,97.826087,58.463133,0.245256,23
SVD-KNN-Hankel,15,20.926627,0.087788,0.295996,6.511109,0.712600,97.826087,75.994689,0.318802,23
Kalman,15,259.682082,1.089380,3.673066,69.678592,7.723300,94.318182,1054.739593,1.055993,23
SVD-KNN,15,24.578774,0.103109,0.347654,7.301490,0.799471,97.826087,64.329611,0.269866,23
