imputation_technique,missing_rate,rmse,nrmse_range,nrmse_std,mae,mape,fam,dtw_magnitude,dtw_shape,valid_pairs
ARIMA,15,4.351164,0.070934,0.325966,1.266920,0.141368,98.565574,38.187610,0.622545,122
LOCF,15,4.558456,0.074313,0.341496,1.323591,0.147640,98.565574,36.265955,0.591218,122
Mean,15,4.977996,0.081153,0.372925,1.428967,0.159312,98.155738,36.904341,0.601625,122
HoltWinters,15,5.126951,0.083581,0.384084,1.447542,0.161227,98.770492,33.539858,0.546776,122
Kalman,15,106.206899,1.731415,7.956466,14.076602,1.582162,97.727273,1160.553197,3.147307,122
SVD-KNN,15,4.963378,0.080914,0.371830,1.523837,0.169173,98.565574,33.698280,0.549359,122
Linear,15,5.156348,0.084060,0.386287,1.631592,0.182223,98.155738,41.615369,0.678426,122
Spline,15,7.886497,0.128568,0.590815,2.422654,0.270681,98.155738,47.440076,0.807257,122
SVD-KNN-Hankel,15,4.671652,0.076159,0.349976,1.497128,0.166740,98.155738,39.874605,0.650047,122
KNN-Sklearn,15,4.977996,0.081153,0.372925,1.428967,0.159312,98.155738,36.904341,0.601625,122
