imputation_technique,missing_rate,rmse,nrmse_range,nrmse_std,mae,mape,fam,dtw_magnitude,dtw_shape,valid_pairs
SVD-KNN,15,6.756315,0.064432,0.388814,2.125292,0.236799,98.770492,70.214697,0.669609,183
SVD-KNN-Hankel,15,6.989540,0.066656,0.402236,1.942121,0.215748,98.770492,62.348385,0.594591,183
KNN-Sklearn,15,6.578551,0.062737,0.378584,1.906503,0.212113,98.770492,61.591051,0.587368,183
Kalman,15,82.773361,0.789375,4.763463,11.348629,1.272805,97.527473,1052.385817,2.616613,183
Spline,15,9.301250,0.088702,0.535271,2.745126,0.305921,98.360656,72.783382,0.694105,183
HoltWinters,15,6.323606,0.060306,0.363913,1.940562,0.215890,98.497268,70.971321,0.676824,183
ARIMA,15,8.767576,0.083613,0.504559,2.913815,0.325012,98.087432,70.484300,0.672180,183
Mean,15,6.578551,0.062737,0.378584,1.906503,0.212113,98.770492,61.591051,0.587368,183
LOCF,15,9.838860,0.093829,0.566209,3.042566,0.338918,98.224044,77.007791,0.734392,183
Linear,15,7.955329,0.075867,0.457815,2.465743,0.274282,98.497268,83.117225,0.792655,183
