imputation_technique,missing_rate,rmse,nrmse_range,nrmse_std,mae,mape,fam,dtw_magnitude,dtw_shape,valid_pairs
Linear,15,21.029003,0.098570,0.637511,5.160668,4.056966,98.786408,160.331643,0.751531,103
HoltWinters,15,13.981810,0.065538,0.423870,3.962858,2.932102,99.271845,119.769919,0.561404,103
Kalman,15,26.942659,0.126290,0.816788,7.422698,5.202689,98.774510,230.155305,2.535766,103
LOCF,15,27.389630,0.128385,0.830339,6.393590,5.164219,98.058252,128.565268,0.602631,103
Spline,15,35.347051,0.165684,1.071574,8.007271,6.315376,97.572816,149.176303,0.751468,103
KNN-Sklearn,15,11.109983,0.052076,0.336808,3.173880,2.337044,99.271845,92.987996,0.435868,103
SVD-KNN-Hankel,15,11.774498,0.055191,0.356953,3.454367,2.406887,99.271845,90.610516,0.424724,103
Mean,15,11.109983,0.052076,0.336808,3.173880,2.337044,99.271845,92.987996,0.435868,103
ARIMA,15,13.474410,0.063159,0.408488,3.579183,2.744929,99.271845,127.222033,0.596335,103
SVD-KNN,15,12.320350,0.057750,0.373501,3.508793,2.465841,99.271845,96.348450,0.451619,103
