imputation_technique,missing_rate,rmse,nrmse_range,nrmse_std,mae,mape,fam,dtw_magnitude,dtw_shape,valid_pairs
LOCF,20,30.405320,0.096998,0.520975,11.104309,1.500217,97.727273,189.389201,0.604180,66
HoltWinters,20,26.480914,0.084478,0.453733,9.496153,1.271529,97.727273,166.221694,0.530272,66
Spline,20,39.833364,0.127074,0.682519,14.274420,1.926858,95.833333,187.795217,0.622090,66
KNN-Sklearn,20,24.053869,0.076735,0.412147,9.334134,1.257033,97.727273,177.501088,0.566255,66
ARIMA,20,32.689547,0.104285,0.560114,12.947915,1.710207,96.590909,188.335215,0.600818,66
SVD-KNN-Hankel,20,20.846492,0.066503,0.357191,7.709949,1.035076,97.727273,159.214779,0.507919,66
Kalman,20,153.002255,0.488100,2.621594,36.885861,4.882327,94.615385,995.910296,1.853067,66
Linear,20,29.939265,0.095511,0.512990,10.582819,1.445536,97.348485,199.108842,0.635187,66
SVD-KNN,20,28.880504,0.092133,0.494849,11.329536,1.531924,97.348485,170.997600,0.545508,66
Mean,20,24.053869,0.076735,0.412147,9.334134,1.257033,97.727273,177.501088,0.566255,66
