imputation_technique,missing_rate,rmse,nrmse_range,nrmse_std,mae,mape,fam,dtw_magnitude,dtw_shape,valid_pairs
Linear,20,8.874541,0.084633,0.510714,3.076596,0.342962,98.360656,93.297060,0.889736,183
KNN-Sklearn,20,7.331200,0.069915,0.421898,2.490744,0.278752,98.497268,66.648231,0.635597,183
HoltWinters,20,7.354360,0.070136,0.423231,2.602797,0.291030,98.360656,77.630572,0.740331,183
Mean,20,7.331200,0.069915,0.421898,2.490744,0.278752,98.497268,66.648231,0.635597,183
Kalman,20,84.411819,0.805001,4.857754,13.965906,1.566620,96.565934,1069.309179,2.654859,183
LOCF,20,10.045232,0.095797,0.578086,3.423538,0.381962,98.087432,80.314207,0.765923,183
SVD-KNN-Hankel,20,7.698601,0.073418,0.443041,2.570393,0.287266,98.497268,68.761850,0.655753,183
ARIMA,20,9.482279,0.090429,0.545689,3.454278,0.385815,98.087432,83.613087,0.797384,183
Spline,20,13.756072,0.131186,0.791638,4.238930,0.474072,98.360656,95.163261,1.386347,183
SVD-KNN,20,8.085431,0.077107,0.465303,2.795245,0.313662,98.087432,70.223685,0.669694,183
