imputation_technique,missing_rate,rmse,nrmse_range,nrmse_std,mae,mape,fam,dtw_magnitude,dtw_shape,valid_pairs
KNN-Sklearn,20,30.796846,0.069228,0.398249,10.818019,1.375637,97.972973,224.880009,0.505508,111
Mean,20,30.796846,0.069228,0.398249,10.818019,1.375637,97.972973,224.880009,0.505508,111
Spline,20,37.266024,0.083770,0.481905,14.631515,1.790578,97.072072,271.241958,0.685369,111
ARIMA,20,34.605306,0.077789,0.447498,13.057328,1.646790,96.846847,271.412533,0.610108,111
SVD-KNN,20,30.686622,0.068980,0.396824,10.703096,1.379893,97.297297,218.575311,0.491335,111
HoltWinters,20,38.153533,0.085765,0.493382,13.656143,1.728956,97.072072,233.282484,0.524395,111
LOCF,20,47.464115,0.106695,0.613782,15.965142,1.973019,96.171171,232.069579,0.521669,111
Kalman,20,110.184086,0.247683,1.424845,28.350035,3.509314,94.772727,899.275647,1.564684,111
SVD-KNN-Hankel,20,30.529357,0.068627,0.394790,10.419201,1.349696,97.747748,220.562521,0.495802,111
Linear,20,31.868972,0.071638,0.412113,11.061386,1.413384,97.297297,267.127797,0.600476,111
