imputation_technique,missing_rate,rmse,nrmse_range,nrmse_std,mae,mape,fam,dtw_magnitude,dtw_shape,valid_pairs
SVD-KNN-Hankel,20,21.612156,0.102285,0.527877,6.945700,0.842545,98.412698,224.056529,1.107798,189
Linear,20,21.995765,0.104100,0.537247,6.910763,0.835345,98.412698,222.911030,1.077193,189
HoltWinters,20,21.140201,0.100051,0.516350,7.284941,0.872735,98.280423,216.699615,1.062458,189
LOCF,20,22.347803,0.105767,0.545845,7.441918,0.891784,98.280423,216.788099,1.075894,189
SVD-KNN,20,22.436958,0.106189,0.548023,7.516284,0.906688,98.280423,216.780618,1.087365,189
Kalman,20,85.408072,0.404215,2.086093,16.505397,1.962860,96.808511,990.583018,2.216607,189
Spline,20,25.003656,0.118336,0.610715,8.154066,0.980331,98.280423,226.771884,1.527991,189
ARIMA,20,21.942928,0.103850,0.535956,7.323264,0.880598,98.148148,223.335396,1.098112,189
Mean,20,22.146286,0.104813,0.540923,7.179148,0.869693,98.412698,229.476261,1.155867,189
KNN-Sklearn,20,22.146286,0.104813,0.540923,7.179148,0.869693,98.412698,229.476261,1.155867,189
