imputation_technique,missing_rate,rmse,nrmse_range,nrmse_std,mae,mape,fam,dtw_magnitude,dtw_shape,valid_pairs
Kalman,20,202.250063,0.780326,3.041515,56.137954,7.435528,91.836735,1348.423857,2.012819,50
ARIMA,20,23.039415,0.088891,0.346476,8.524456,1.080975,99.000000,99.885470,0.378862,50
Linear,20,18.871496,0.072810,0.283797,7.582984,0.957130,99.000000,113.698837,0.438678,50
SVD-KNN-Hankel,20,31.996746,0.123451,0.481180,10.869894,1.311511,97.500000,123.036742,0.466511,50
Mean,20,30.858139,0.119058,0.464057,10.234419,1.232303,97.500000,109.018720,0.412799,50
KNN-Sklearn,20,30.858139,0.119058,0.464057,10.234419,1.232303,97.500000,109.018720,0.412799,50
Spline,20,50.512783,0.194890,0.759631,14.028868,1.834729,96.500000,336.525777,1.658869,50
LOCF,20,24.540234,0.094682,0.369046,9.051774,1.148355,98.500000,89.376922,0.345134,50
HoltWinters,20,27.684054,0.106811,0.416324,9.058828,1.113262,98.000000,104.488693,0.394876,50
SVD-KNN,20,30.933591,0.119349,0.465191,9.693783,1.148500,97.500000,116.815527,0.442857,50
