imputation_technique,missing_rate,rmse,nrmse_range,nrmse_std,mae,mape,fam,dtw_magnitude,dtw_shape,valid_pairs
KNN-Sklearn,20,33.232796,0.123402,0.598326,10.036484,0.502133,97.916667,193.552156,0.708557,36
Linear,20,42.623559,0.158273,0.767399,13.771609,0.685873,95.833333,204.059800,0.746985,36
SVD-KNN-Hankel,20,35.313360,0.131128,0.635785,10.735270,0.537683,95.833333,208.950768,0.779738,36
HoltWinters,20,47.120558,0.174971,0.848363,16.294318,0.810293,95.138889,240.866200,0.881082,36
LOCF,20,34.813649,0.129272,0.626788,11.663633,0.580195,97.222222,181.963547,0.676020,36
Spline,20,52.696575,0.195676,0.948754,17.271886,0.858936,95.138889,237.126372,0.883404,36
Mean,20,33.232796,0.123402,0.598326,10.036484,0.502133,97.916667,193.552156,0.708557,36
ARIMA,20,33.724934,0.125230,0.607187,11.317525,0.563245,97.222222,183.644281,0.689196,36
SVD-KNN,20,52.805365,0.196080,0.950713,18.517105,0.919297,95.833333,237.434228,0.873208,36
Kalman,20,512.196066,1.901919,9.221626,106.471517,5.057995,93.571429,2886.857895,1.878696,36
