imputation_technique,missing_rate,rmse,nrmse_range,nrmse_std,mae,mape,fam,dtw_magnitude,dtw_shape,valid_pairs
SVD-KNN-Hankel,20,6.046830,0.098577,0.452997,2.398470,0.265988,97.540984,52.820510,0.861095,122
SVD-KNN,20,6.490645,0.105812,0.486245,2.306431,0.256370,98.155738,42.320468,0.689920,122
Spline,20,10.310054,0.168077,0.772375,3.824760,0.423786,97.131148,56.128073,0.932204,122
Linear,20,6.748624,0.110018,0.505572,2.589957,0.287487,97.540984,53.864494,0.878114,122
Kalman,20,111.540169,1.818360,8.356007,15.199212,1.708062,97.107438,1219.841783,3.515778,122
HoltWinters,20,6.680260,0.108904,0.500450,2.432283,0.270071,97.745902,52.334519,0.853172,122
ARIMA,20,7.188799,0.117194,0.538547,2.514539,0.278611,97.540984,47.113138,0.768052,122
Mean,20,6.301508,0.102729,0.472076,2.312180,0.256563,97.745902,51.356469,0.837228,122
KNN-Sklearn,20,6.301508,0.102729,0.472076,2.312180,0.256563,97.745902,51.356469,0.837228,122
LOCF,20,7.318461,0.119308,0.548261,2.516145,0.278574,97.540984,44.812812,0.730551,122
