imputation_technique,missing_rate,rmse,nrmse_range,nrmse_std,mae,mape,fam,dtw_magnitude,dtw_shape,valid_pairs
SVD-KNN,20,16.078908,0.026907,0.133729,5.607700,0.622419,97.560976,100.687197,0.168495,41
Kalman,20,150.399854,0.251687,1.250883,35.032007,3.846033,94.512195,795.636179,0.900830,41
SVD-KNN-Hankel,20,14.213931,0.023786,0.118218,5.639425,0.626907,98.170732,91.013566,0.152307,41
Mean,20,26.523139,0.044385,0.220594,10.607799,1.169286,97.560976,165.686113,0.277268,41
LOCF,20,60.811008,0.101764,0.505768,22.021910,2.441628,92.682927,139.788104,0.233929,41
Linear,20,33.622251,0.056265,0.279638,11.927232,1.318633,97.560976,160.937947,0.269322,41
HoltWinters,20,20.946348,0.035053,0.174212,7.867960,0.872596,96.951220,130.968891,0.219170,41
KNN-Sklearn,20,26.523139,0.044385,0.220594,10.607799,1.169286,97.560976,165.686113,0.277268,41
Spline,20,77.146297,0.129101,0.641629,25.666006,2.881470,92.073171,410.667624,1.357500,41
ARIMA,20,46.860164,0.078418,0.389738,17.133157,1.890714,96.951220,191.532032,0.320520,41
