imputation_technique,missing_rate,rmse,nrmse_range,nrmse_std,mae,mape,fam,dtw_magnitude,dtw_shape,valid_pairs
Kalman,5,9.170829,0.020615,0.118592,1.433406,0.167701,99.099099,96.620675,0.217194,111
ARIMA,5,11.871891,0.026687,0.153521,2.202088,0.252440,99.549550,112.924797,0.253844,111
KNN-Sklearn,5,11.077723,0.024902,0.143251,1.808054,0.202446,99.774775,95.742028,0.215218,111
LOCF,5,27.314836,0.061401,0.353222,3.826983,0.450648,98.873874,92.499757,0.207930,111
SVD-KNN,5,10.056458,0.022606,0.130045,1.594364,0.178158,99.774775,91.233228,0.205083,111
HoltWinters,5,11.528526,0.025915,0.149081,1.900113,0.213506,99.774775,101.207878,0.227505,111
Mean,5,11.077723,0.024902,0.143251,1.808054,0.202446,99.774775,95.742028,0.215218,111
Linear,5,14.415907,0.032405,0.186419,2.358503,0.272216,99.549550,132.014321,0.296755,111
Spline,5,19.057272,0.042839,0.246439,3.084479,0.355519,99.099099,146.993167,0.330426,111
SVD-KNN-Hankel,5,9.896116,0.022245,0.127972,1.785627,0.204080,99.549550,98.920930,0.222364,111
