imputation_technique,missing_rate,rmse,nrmse_range,nrmse_std,mae,mape,fam,dtw_magnitude,dtw_shape,valid_pairs
Spline,5,30.812372,0.051563,0.256268,4.812084,0.532249,98.780488,25.130425,0.042055,41
Linear,5,17.685313,0.029596,0.147090,2.761982,0.305494,98.780488,108.877812,0.182202,41
Kalman,5,7.027491,0.011760,0.058448,1.097510,0.121392,99.390244,44.997897,0.075302,41
HoltWinters,5,0.496267,0.000830,0.004127,0.077504,0.008572,100.000000,3.177662,0.005318,41
SVD-KNN,5,0.665772,0.001114,0.005537,0.103976,0.011500,99.390244,4.263023,0.007134,41
SVD-KNN-Hankel,5,4.370072,0.007313,0.036346,0.682491,0.075488,99.390244,27.982115,0.046827,41
ARIMA,5,13.085360,0.021898,0.108832,2.043590,0.226035,99.390244,83.787186,0.140214,41
Mean,5,8.353216,0.013979,0.069474,1.304553,0.144292,99.390244,53.486678,0.089508,41
KNN-Sklearn,5,8.353216,0.013979,0.069474,1.304553,0.144292,99.390244,53.486678,0.089508,41
LOCF,5,34.674933,0.058027,0.288393,5.415315,0.598970,97.560976,4.454612,0.007455,41
