imputation_technique,missing_rate,rmse,nrmse_range,nrmse_std,mae,mape,fam,dtw_magnitude,dtw_shape,valid_pairs
LOCF,5,2.648564,0.009835,0.047685,0.441427,0.020551,100.000000,15.891384,0.059009,36
HoltWinters,5,2.620325,0.009730,0.047177,0.436721,0.020331,100.000000,15.721951,0.058380,36
KNN-Sklearn,5,10.012202,0.037178,0.180261,1.668700,0.077686,99.305556,20.407049,0.075777,36
Kalman,5,7.351314,0.027297,0.132354,1.225219,0.057040,100.000000,32.865499,0.122038,36
SVD-KNN-Hankel,5,6.986391,0.025942,0.125784,1.164399,0.054208,100.000000,34.798173,0.129215,36
SVD-KNN,5,9.811420,0.036432,0.176646,1.635237,0.076128,99.305556,21.183620,0.078660,36
Spline,5,2.401823,0.008919,0.043243,0.400304,0.018636,100.000000,14.410939,0.053512,36
Linear,5,4.748719,0.017633,0.085496,0.791453,0.036846,100.000000,28.492312,0.105799,36
Mean,5,10.012202,0.037178,0.180261,1.668700,0.077686,99.305556,20.407049,0.075777,36
ARIMA,5,3.103952,0.011526,0.055884,0.517325,0.024084,100.000000,18.623713,0.069155,36
