imputation_technique,missing_rate,rmse,nrmse_range,nrmse_std,mae,mape,fam,dtw_magnitude,dtw_shape,valid_pairs
Kalman,5,9.628738,0.030717,0.164982,1.356415,0.168728,99.242424,43.615034,0.139139,66
Mean,5,7.918199,0.025260,0.135673,1.373651,0.171390,99.621212,46.773457,0.149214,66
HoltWinters,5,13.038854,0.041596,0.223412,2.242401,0.279687,99.621212,79.578665,0.253868,66
Spline,5,14.934520,0.047643,0.255893,2.104494,0.263575,99.621212,36.768869,0.117298,66
Linear,5,10.593786,0.033796,0.181518,1.675706,0.209611,99.621212,72.434085,0.231076,66
SVD-KNN-Hankel,5,7.244484,0.023111,0.124130,1.225876,0.153186,99.621212,54.728265,0.174591,66
ARIMA,5,7.583442,0.024192,0.129937,1.169694,0.145641,99.621212,32.629026,0.104092,66
KNN-Sklearn,5,7.918199,0.025260,0.135673,1.373651,0.171390,99.621212,46.773457,0.149214,66
SVD-KNN,5,6.678652,0.021306,0.114434,1.133932,0.141385,99.621212,35.380330,0.112869,66
LOCF,5,5.203868,0.016601,0.089165,0.806061,0.100369,99.621212,23.443697,0.074789,66
