imputation_technique,missing_rate,rmse,nrmse_range,nrmse_std,mae,mape,fam,dtw_magnitude,dtw_shape,valid_pairs
LOCF,5,9.832958,0.046537,0.240170,1.646171,0.195853,99.470899,116.537113,0.551541,189
Spline,5,9.154466,0.043326,0.223598,1.697008,0.200514,99.735450,105.427061,0.498960,189
Mean,5,9.783242,0.046302,0.238956,1.736556,0.203363,99.470899,111.625030,0.528293,189
KNN-Sklearn,5,9.783242,0.046302,0.238956,1.736556,0.203363,99.470899,111.625030,0.528293,189
SVD-KNN-Hankel,5,11.488846,0.054374,0.280615,2.049517,0.240410,99.470899,116.485520,0.551297,189
Kalman,5,15.649458,0.074065,0.382238,2.932102,0.341513,99.206349,124.440194,0.631435,189
SVD-KNN,5,11.005177,0.052085,0.268802,1.967397,0.233556,99.338624,122.002842,0.577409,189
ARIMA,5,10.543795,0.049901,0.257532,1.798347,0.213183,99.470899,117.054660,0.553991,189
HoltWinters,5,9.087133,0.043007,0.221953,1.636571,0.192060,99.470899,105.813434,0.500789,189
Linear,5,10.564413,0.049999,0.258036,1.994273,0.234931,99.470899,126.423358,0.598330,189
