imputation_technique,missing_rate,rmse,nrmse_range,nrmse_std,mae,mape,fam,dtw_magnitude,dtw_shape,valid_pairs
SVD-KNN,5,18.166958,0.070092,0.273202,2.569196,0.287230,99.500000,40.699583,0.157028,50
Spline,5,9.234617,0.035629,0.138874,1.305972,0.146004,100.000000,26.553612,0.102450,50
KNN-Sklearn,5,17.066904,0.065848,0.256659,2.413625,0.269837,99.500000,33.294070,0.128456,50
LOCF,5,1.591993,0.006142,0.023941,0.225142,0.025170,100.000000,11.257087,0.043432,50
SVD-KNN-Hankel,5,15.053777,0.058081,0.226385,2.128926,0.238008,99.500000,20.471295,0.078983,50
HoltWinters,5,2.343383,0.009041,0.035241,0.331404,0.037050,100.000000,16.570220,0.063932,50
Mean,5,17.066904,0.065848,0.256659,2.413625,0.269837,99.500000,33.294070,0.128456,50
Kalman,5,14.354791,0.055384,0.215873,2.030074,0.226957,99.500000,101.503702,0.838067,50
Linear,5,7.113852,0.027447,0.106981,1.006051,0.112474,100.000000,40.635806,0.156782,50
ARIMA,5,2.197616,0.008479,0.033049,0.310790,0.034746,100.000000,15.539492,0.059955,50
