imputation_technique,missing_rate,rmse,nrmse_range,nrmse_std,mae,mape,fam,dtw_magnitude,dtw_shape,valid_pairs
Linear,5,4.586412,0.043739,0.263940,0.725003,0.080967,99.453552,44.531816,0.424682,183
KNN-Sklearn,5,2.087186,0.019905,0.120114,0.353811,0.039809,99.726776,17.029156,0.162400,183
ARIMA,5,3.567864,0.034025,0.205324,0.682881,0.076754,99.453552,32.494499,0.309887,183
LOCF,5,3.573154,0.034076,0.205629,0.681786,0.076631,99.453552,32.353202,0.308539,183
SVD-KNN,5,3.026678,0.028864,0.174180,0.620480,0.069442,99.590164,37.348915,0.356181,183
HoltWinters,5,2.640395,0.025180,0.151950,0.499897,0.055970,99.590164,33.612432,0.320548,183
Mean,5,2.087186,0.019905,0.120114,0.353811,0.039809,99.726776,17.029156,0.162400,183
Spline,5,5.683221,0.054199,0.327060,0.848509,0.094583,99.453552,37.465131,0.357290,183
SVD-KNN-Hankel,5,2.276430,0.021709,0.131005,0.384393,0.043279,99.863388,22.644307,0.215949,183
Kalman,5,4.863107,0.046377,0.279863,0.818393,0.091953,99.590164,53.367033,0.508939,183
