imputation_technique,missing_rate,rmse,nrmse_range,nrmse_std,mae,mape,fam,dtw_magnitude,dtw_shape,valid_pairs
Mean,5,7.373989,0.034565,0.223548,1.007746,0.571142,99.757282,53.586475,0.251179,103
ARIMA,5,7.674171,0.035972,0.232649,0.969518,0.527728,99.757282,51.109119,0.239567,103
Kalman,5,10.331674,0.048428,0.313213,1.475260,0.829117,99.757282,54.068747,0.253439,103
SVD-KNN-Hankel,5,7.609500,0.035668,0.230688,0.962634,0.514417,99.757282,51.220588,0.240089,103
Linear,5,6.644899,0.031147,0.201445,0.898949,0.497569,99.757282,53.292746,0.249802,103
HoltWinters,5,9.858842,0.046212,0.298879,1.681113,1.051747,99.757282,61.914147,0.290214,103
Spline,5,8.986100,0.042121,0.272421,1.387955,0.817024,99.514563,55.669287,0.260942,103
SVD-KNN,5,9.415736,0.044135,0.285446,1.425582,0.833996,99.757282,56.161250,0.263248,103
KNN-Sklearn,5,7.373989,0.034565,0.223548,1.007746,0.571142,99.757282,53.586475,0.251179,103
LOCF,5,5.779137,0.027089,0.175199,0.984765,0.602915,99.757282,49.631051,0.232638,103
