imputation_technique,missing_rate,rmse,nrmse_range,nrmse_std,mae,mape,fam,dtw_magnitude,dtw_shape,valid_pairs
Kalman,25,107.246476,0.241079,1.386857,30.568025,3.829748,94.090909,855.879765,1.461752,111
HoltWinters,25,42.516147,0.095572,0.549797,16.412136,2.106629,96.396396,287.247963,0.645704,111
Spline,25,47.023882,0.105705,0.608089,19.653598,2.443013,95.720721,293.844526,0.719049,111
KNN-Sklearn,25,34.891289,0.078432,0.451196,13.427049,1.729185,97.297297,271.507062,0.610320,111
Linear,25,37.895295,0.085185,0.490043,14.797283,1.905764,96.396396,310.511355,0.697998,111
ARIMA,25,38.373811,0.086260,0.496231,15.535003,1.983517,96.396396,314.199494,0.706289,111
LOCF,25,52.255572,0.117465,0.675743,19.063881,2.395533,95.270270,263.010929,0.591222,111
Mean,25,34.891289,0.078432,0.451196,13.427049,1.729185,97.297297,271.507062,0.610320,111
SVD-KNN,25,31.178131,0.070085,0.403180,12.017125,1.551216,97.297297,260.209062,0.584924,111
SVD-KNN-Hankel,25,35.294391,0.079338,0.456409,12.950244,1.699282,97.072072,268.101513,0.602665,111
