imputation_technique,missing_rate,rmse,nrmse_range,nrmse_std,mae,mape,fam,dtw_magnitude,dtw_shape,valid_pairs
Spline,25,14.103918,0.134503,0.811656,4.736052,0.529960,97.677596,97.872125,1.389698,183
SVD-KNN-Hankel,25,8.152289,0.077745,0.469150,3.005884,0.335277,98.087432,75.135074,0.716532,183
Mean,25,7.908536,0.075420,0.455123,2.974449,0.332264,98.087432,74.560696,0.711055,183
LOCF,25,10.448245,0.099641,0.601278,3.774503,0.420974,97.950820,81.329588,0.775607,183
HoltWinters,25,7.904230,0.075379,0.454875,2.972615,0.332640,98.360656,78.407754,0.747742,183
SVD-KNN,25,8.621431,0.082219,0.496148,3.319793,0.372248,97.814208,79.406827,0.757270,183
Linear,25,9.050949,0.086315,0.520866,3.401760,0.379256,98.087432,95.695951,0.912613,183
Kalman,25,86.171619,0.821783,4.959027,15.523613,1.740485,96.428571,1088.851375,2.757969,183
KNN-Sklearn,25,7.908536,0.075420,0.455123,2.974449,0.332264,98.087432,74.560696,0.711055,183
ARIMA,25,9.970784,0.095087,0.573801,3.886939,0.433990,97.677596,83.170651,0.793164,183
