imputation_technique,missing_rate,rmse,nrmse_range,nrmse_std,mae,mape,fam,dtw_magnitude,dtw_shape,valid_pairs
ARIMA,25,33.755951,0.125345,0.607745,11.573030,0.575467,97.222222,183.641859,0.691973,36
KNN-Sklearn,25,33.285977,0.123600,0.599284,10.219709,0.510947,97.916667,193.922104,0.709428,36
SVD-KNN-Hankel,25,35.619104,0.132263,0.641290,11.322984,0.565925,95.833333,210.370731,0.788947,36
SVD-KNN,25,52.567260,0.195196,0.946426,19.094108,0.947025,95.833333,241.053942,0.892922,36
LOCF,25,34.842881,0.129381,0.627314,11.901458,0.591574,97.222222,181.985011,0.678734,36
Kalman,25,553.859320,2.056626,9.971735,145.140118,6.953298,91.176471,3102.454504,1.151266,36
HoltWinters,25,47.395877,0.175993,0.853320,16.850301,0.836911,95.138889,241.291674,0.888059,36
Spline,25,52.083896,0.193401,0.937723,17.614727,0.874683,94.444444,238.595606,0.886589,36
Mean,25,33.285977,0.123600,0.599284,10.219709,0.510947,97.916667,193.922104,0.709428,36
Linear,25,42.634065,0.158312,0.767588,13.929340,0.693420,95.833333,204.099308,0.749382,36
