imputation_technique,missing_rate,rmse,nrmse_range,nrmse_std,mae,mape,fam,dtw_magnitude,dtw_shape,valid_pairs
SVD-KNN-Hankel,25,20.229238,0.064534,0.346615,7.436859,0.994281,97.727273,154.400455,0.492561,66
Mean,25,24.210356,0.077235,0.414829,9.692166,1.302563,97.727273,178.489920,0.569410,66
KNN-Sklearn,25,24.210356,0.077235,0.414829,9.692166,1.302563,97.727273,178.489920,0.569410,66
ARIMA,25,27.726304,0.088451,0.475072,9.869003,1.333599,97.727273,185.546495,0.591921,66
Kalman,25,152.021236,0.484971,2.604785,39.225089,5.219340,93.846154,978.388998,1.712699,66
SVD-KNN,25,29.809395,0.095096,0.510765,11.662098,1.586321,96.969697,161.644279,0.515670,66
Spline,25,40.239618,0.128370,0.689480,14.703406,1.979533,95.833333,187.138734,0.619765,66
HoltWinters,25,26.415036,0.084268,0.452604,10.125053,1.353376,97.727273,168.440340,0.537350,66
LOCF,25,30.470118,0.097204,0.522086,11.449159,1.545227,97.727273,190.075281,0.606369,66
Linear,25,30.212224,0.096382,0.517667,11.254871,1.532817,97.348485,199.311874,0.635835,66
