imputation_technique,missing_rate,rmse,nrmse_range,nrmse_std,mae,mape,fam,dtw_magnitude,dtw_shape,valid_pairs
Mean,25,23.548432,0.111449,0.575171,8.480550,1.019665,98.015873,249.085071,1.257952,189
Linear,25,25.195354,0.119243,0.615397,8.665978,1.032949,97.751323,256.266064,1.213614,189
HoltWinters,25,25.226284,0.119390,0.616152,9.697035,1.145315,97.883598,243.913514,1.225881,189
ARIMA,25,25.091497,0.118752,0.612860,9.051700,1.076236,97.619048,253.096641,1.255049,189
Spline,25,31.108343,0.147228,0.759822,11.053394,1.311043,97.222222,273.779157,1.833334,189
SVD-KNN-Hankel,25,23.043453,0.109059,0.562837,8.428426,1.009405,98.015873,252.207826,1.243865,189
KNN-Sklearn,25,23.548432,0.111449,0.575171,8.480550,1.019665,98.015873,249.085071,1.257952,189
LOCF,25,26.033209,0.123209,0.635861,9.508525,1.126666,97.486772,249.205912,1.244027,189
SVD-KNN,25,27.068462,0.128108,0.661147,9.554405,1.141197,97.751323,242.375400,1.245393,189
Kalman,25,85.888101,0.406487,2.097818,17.993624,2.130906,96.542553,989.353541,2.221861,189
