imputation_technique,missing_rate,rmse,nrmse_range,nrmse_std,mae,mape,fam,dtw_magnitude,dtw_shape,valid_pairs
Linear,25,7.048723,0.114910,0.528054,2.934712,0.325795,97.540984,59.486627,0.969768,122
Spline,25,10.388836,0.169362,0.778277,4.253538,0.471556,97.336066,60.719670,0.995072,122
Mean,25,6.692428,0.109102,0.501362,2.685638,0.298298,97.336066,58.030897,0.946036,122
Kalman,25,119.110741,1.941777,8.923155,17.824581,1.996563,96.074380,1301.914961,3.292398,122
ARIMA,25,7.690881,0.125379,0.576161,3.019450,0.334757,97.540984,54.893886,0.894896,122
KNN-Sklearn,25,6.692428,0.109102,0.501362,2.685638,0.298298,97.336066,58.030897,0.946036,122
SVD-KNN,25,6.495024,0.105884,0.486573,2.801402,0.310655,96.926230,56.389770,0.919282,122
SVD-KNN-Hankel,25,6.399710,0.104330,0.479433,2.602273,0.289350,97.745902,57.078241,0.930506,122
LOCF,25,7.817462,0.127443,0.585643,3.018806,0.334448,97.540984,52.954728,0.863283,122
HoltWinters,25,6.874895,0.112077,0.515031,2.755097,0.306506,97.540984,60.247016,0.982164,122
