imputation_technique,missing_rate,rmse,nrmse_range,nrmse_std,mae,mape,fam,dtw_magnitude,dtw_shape,valid_pairs
KNN-Sklearn,25,33.714189,0.130077,0.507007,12.346411,1.548256,97.000000,116.728420,0.447068,50
Linear,25,20.816914,0.080316,0.313053,9.174243,1.170484,98.500000,124.894360,0.479075,50
Kalman,25,204.237481,0.787994,3.071403,63.530258,8.594082,89.795918,1290.812188,1.845842,50
SVD-KNN-Hankel,25,37.204212,0.143542,0.559491,14.392387,1.801499,97.000000,146.833711,0.561787,50
Mean,25,33.714189,0.130077,0.507007,12.346411,1.548256,97.000000,116.728420,0.447068,50
ARIMA,25,21.854545,0.084320,0.328657,8.447708,1.069679,99.000000,94.799809,0.359259,50
LOCF,25,24.770923,0.095572,0.372515,9.712541,1.241348,98.500000,92.504111,0.358449,50
SVD-KNN,25,38.285326,0.147713,0.575750,13.997521,1.757046,96.500000,157.188284,0.603670,50
HoltWinters,25,28.417890,0.109643,0.427359,10.534454,1.318910,97.500000,112.682137,0.424326,50
Spline,25,52.934246,0.204232,0.796046,16.925593,2.193960,95.500000,338.783643,1.663841,50
