imputation_technique,missing_rate,rmse,nrmse_range,nrmse_std,mae,mape,fam,dtw_magnitude,dtw_shape,valid_pairs
HoltWinters,25,38.143979,0.160016,0.539526,13.511259,1.475105,94.565217,88.416858,0.370913,23
SVD-KNN-Hankel,25,29.305065,0.122936,0.414505,11.181939,1.223290,96.739130,108.901142,0.456846,23
KNN-Sklearn,25,26.339125,0.110494,0.372553,9.897457,1.080734,96.739130,107.381922,0.450473,23
Mean,25,26.339125,0.110494,0.372553,9.897457,1.080734,96.739130,107.381922,0.450473,23
ARIMA,25,37.049890,0.155426,0.524051,13.701529,1.499202,95.652174,78.307771,0.328505,23
Spline,25,32.247085,0.135278,0.456118,10.584986,1.163325,95.652174,84.653079,0.355124,23
LOCF,25,37.357155,0.156715,0.528397,13.891175,1.522270,95.652174,78.504434,0.329330,23
Kalman,25,243.347002,1.020853,3.442015,68.581832,7.637481,94.318182,974.678931,0.978211,23
Linear,25,29.598735,0.124168,0.418658,10.945563,1.200114,96.739130,106.875784,0.448350,23
SVD-KNN,25,26.815498,0.112492,0.379291,9.587990,1.047863,96.739130,83.896181,0.351949,23
