imputation_technique,missing_rate,rmse,nrmse_range,nrmse_std,mae,mape,fam,dtw_magnitude,dtw_shape,valid_pairs
HoltWinters,25,19.546570,0.091622,0.592570,7.553285,5.814877,99.271845,148.361710,0.695424,103
SVD-KNN-Hankel,25,12.847595,0.060221,0.389485,4.829654,3.536083,99.271845,102.809600,0.481905,103
Kalman,25,31.190158,0.146199,0.945555,11.766181,8.505524,97.794118,257.932796,2.483594,103
Spline,25,42.489361,0.199163,1.288099,14.185537,10.988685,96.601942,182.600131,0.782840,103
ARIMA,25,15.343322,0.071920,0.465145,5.263576,4.126360,99.271845,146.948210,0.688798,103
SVD-KNN,25,18.155658,0.085102,0.550403,7.258971,5.576874,99.029126,137.942029,0.646583,103
Mean,25,12.597947,0.059051,0.381917,4.733624,3.656148,99.271845,103.815364,0.486620,103
LOCF,25,28.217173,0.132264,0.855426,8.320849,6.690474,98.058252,138.814421,0.650673,103
Linear,25,23.584873,0.110551,0.714994,7.731725,6.074842,98.543689,172.964189,0.810745,103
KNN-Sklearn,25,12.597947,0.059051,0.381917,4.733624,3.656148,99.271845,103.815364,0.486620,103
