imputation_technique,missing_rate,rmse,nrmse_range,nrmse_std,mae,mape,fam,dtw_magnitude,dtw_shape,valid_pairs
ARIMA,30,39.960760,0.089828,0.516752,17.529483,2.232119,95.495495,334.762442,0.752512,111
SVD-KNN-Hankel,30,36.839638,0.082812,0.476391,15.124495,1.977655,96.396396,287.743581,0.646818,111
Kalman,30,105.090116,0.236232,1.358972,32.876325,4.093693,93.863636,828.448129,1.476104,111
LOCF,30,53.108113,0.119382,0.686767,21.156520,2.660386,94.819820,286.672936,0.644412,111
SVD-KNN,30,40.043013,0.090013,0.517816,16.382436,2.129813,96.171171,280.967528,0.631587,111
KNN-Sklearn,30,37.019264,0.083216,0.478714,15.849842,2.032554,96.846847,297.593188,0.668959,111
Linear,30,39.275050,0.088286,0.507885,16.539415,2.135727,96.396396,330.064342,0.741951,111
Spline,30,53.625771,0.120545,0.693461,22.526358,2.850183,93.693694,335.993766,1.129649,111
HoltWinters,30,43.701135,0.098236,0.565121,18.164667,2.321475,96.621622,296.782689,0.667137,111
Mean,30,37.019264,0.083216,0.478714,15.849842,2.032554,96.846847,297.593188,0.668959,111
