imputation_technique,missing_rate,rmse,nrmse_range,nrmse_std,mae,mape,fam,dtw_magnitude,dtw_shape,valid_pairs
KNN-Sklearn,30,83.449913,0.139650,0.694057,22.353974,4.719811,94.512195,411.566098,0.705003,41
Kalman,30,281.430001,0.470960,2.340667,86.406136,11.346326,92.307692,1341.221909,1.304361,41
SVD-KNN-Hankel,30,89.039354,0.149003,0.740545,19.978218,4.669940,94.512195,399.641171,0.675782,41
Mean,30,83.449913,0.139650,0.694057,22.353974,4.719811,94.512195,411.566098,0.705003,41
SVD-KNN,30,81.222162,0.135922,0.675529,19.432387,4.384646,94.512195,405.756789,0.674747,41
Linear,30,94.220981,0.157675,0.783640,25.849031,5.344897,95.121951,414.102776,0.680032,41
Spline,30,100.661656,0.168453,0.837208,30.268162,5.852067,91.463415,447.637743,1.525157,41
HoltWinters,30,65.459489,0.109543,0.544430,18.082361,3.760877,93.902439,417.710983,0.724500,41
LOCF,30,111.422522,0.186461,0.926706,37.027164,6.737215,90.243902,441.671889,0.828916,41
ARIMA,30,100.422423,0.168052,0.835218,31.425917,5.962848,92.682927,414.347924,0.738079,41
