imputation_technique,missing_rate,rmse,nrmse_range,nrmse_std,mae,mape,fam,dtw_magnitude,dtw_shape,valid_pairs
ARIMA,30,8.398820,0.136920,0.629196,3.556635,0.395283,97.336066,60.253108,0.982263,122
KNN-Sklearn,30,7.686429,0.125306,0.575827,3.308885,0.369337,96.516393,59.391830,0.968223,122
SVD-KNN,30,7.922806,0.129160,0.593535,3.472039,0.387322,96.926230,54.711299,0.891919,122
HoltWinters,30,7.733284,0.126070,0.579337,3.417430,0.381399,97.336066,57.773360,0.941838,122
SVD-KNN-Hankel,30,7.338194,0.119629,0.549739,3.283041,0.366437,96.721311,61.596095,1.004157,122
Linear,30,8.051275,0.131254,0.603159,3.622328,0.403718,97.131148,66.697615,1.087324,122
Mean,30,7.686429,0.125306,0.575827,3.308885,0.369337,96.516393,59.391830,0.968223,122
Kalman,30,121.636900,1.982960,9.112402,19.381571,2.174266,96.074380,1325.028402,3.672518,122
Spline,30,11.243137,0.183289,0.842277,5.037715,0.559169,97.336066,66.711890,1.086772,122
LOCF,30,8.168823,0.133170,0.611966,3.349666,0.371517,97.336066,55.164179,0.899302,122
