imputation_technique,missing_rate,rmse,nrmse_range,nrmse_std,mae,mape,fam,dtw_magnitude,dtw_shape,valid_pairs
Mean,30,13.652594,0.063995,0.413889,5.700044,4.436426,99.271845,110.031953,0.515759,103
Spline,30,60.673036,0.284396,1.839352,18.695605,14.501661,96.568627,475.228483,3.100044,103
KNN-Sklearn,30,13.652594,0.063995,0.413889,5.700044,4.436426,99.271845,110.031953,0.515759,103
Linear,30,24.064181,0.112797,0.729525,8.508846,6.710261,98.543689,177.227579,0.830729,103
ARIMA,30,16.157390,0.075735,0.489824,6.212563,4.871332,99.271845,154.150147,0.722557,103
SVD-KNN,30,18.315960,0.085853,0.555263,7.660979,5.884671,99.029126,139.599871,0.654354,103
Kalman,30,31.959519,0.149806,0.968878,12.617201,9.125463,98.039216,262.424139,2.394465,103
HoltWinters,30,20.178500,0.094584,0.611727,8.278781,6.328256,99.271845,156.586603,0.733977,103
LOCF,30,28.521103,0.133689,0.864640,9.092614,7.265982,98.058252,145.071095,0.680000,103
SVD-KNN-Hankel,30,13.320628,0.062439,0.403826,5.584043,4.114994,99.271845,107.726867,0.504954,103
