imputation_technique,missing_rate,rmse,nrmse_range,nrmse_std,mae,mape,fam,dtw_magnitude,dtw_shape,valid_pairs
Mean,30,8.575977,0.081786,0.493533,3.617511,0.404250,97.540984,84.137767,0.802387,183
Kalman,30,84.512864,0.805964,4.863569,17.553011,1.970095,95.741758,1058.956200,2.555591,183
SVD-KNN-Hankel,30,8.808406,0.084002,0.506908,3.636820,0.406270,97.267760,85.232095,0.812823,183
SVD-KNN,30,9.362229,0.089284,0.538780,4.018291,0.449191,96.994536,91.352210,0.871188,183
HoltWinters,30,8.539950,0.081442,0.491459,3.620825,0.404679,97.677596,86.558106,0.825469,183
Linear,30,10.198567,0.097260,0.586910,4.239224,0.472875,97.404372,107.026418,1.020667,183
Spline,30,14.682286,0.140019,0.844940,5.533251,0.618646,97.267760,100.990987,1.348231,183
KNN-Sklearn,30,8.575977,0.081786,0.493533,3.617511,0.404250,97.540984,84.137767,0.802387,183
LOCF,30,11.012304,0.105020,0.633739,4.379057,0.488493,97.404372,90.242755,0.860608,183
ARIMA,30,10.809236,0.103083,0.622053,4.557876,0.508693,97.404372,97.123019,0.926222,183
