imputation_technique,missing_rate,rmse,nrmse_range,nrmse_std,mae,mape,fam,dtw_magnitude,dtw_shape,valid_pairs
Spline,30,144.096350,0.555956,2.166977,33.842101,4.456415,94.500000,1002.198467,2.328618,50
Kalman,30,226.397695,0.873493,3.404657,75.807936,10.249145,89.285714,1445.336096,1.799537,50
KNN-Sklearn,30,34.147597,0.131749,0.513525,13.184455,1.664319,97.000000,120.721058,0.461741,50
Mean,30,34.147597,0.131749,0.513525,13.184455,1.664319,97.000000,120.721058,0.461741,50
HoltWinters,30,28.892450,0.111474,0.434496,11.813911,1.518329,97.500000,110.447489,0.427580,50
SVD-KNN-Hankel,30,38.629759,0.149042,0.580929,15.888265,2.003610,96.000000,154.074700,0.591922,50
LOCF,30,25.137105,0.096985,0.378022,10.317114,1.323671,98.500000,97.317943,0.375905,50
Linear,30,20.830179,0.080368,0.313252,9.279357,1.184797,98.500000,125.004895,0.479743,50
ARIMA,30,22.138547,0.085416,0.332928,8.944726,1.137354,99.000000,97.979111,0.370799,50
SVD-KNN,30,42.718168,0.164816,0.642412,16.614220,2.120333,96.000000,184.695894,0.713828,50
