imputation_technique,missing_rate,rmse,nrmse_range,nrmse_std,mae,mape,fam,dtw_magnitude,dtw_shape,valid_pairs
Linear,30,26.935020,0.127477,0.657888,10.246090,1.219445,97.619048,279.817777,1.337440,189
Spline,30,33.821079,0.160067,0.826080,13.604820,1.610795,96.560847,297.789511,1.865542,189
SVD-KNN-Hankel,30,25.026729,0.118445,0.611278,9.613593,1.159091,97.751323,257.296270,1.257688,189
LOCF,30,28.339673,0.134125,0.692197,11.438892,1.354470,97.089947,267.097880,1.321745,189
Kalman,30,90.921254,0.430308,2.220752,24.780168,2.909443,94.946809,1015.496127,2.254092,189
SVD-KNN,30,28.894817,0.136752,0.705756,11.503978,1.379917,97.354497,287.580085,1.393364,189
HoltWinters,30,28.695516,0.135809,0.700888,11.724369,1.402846,97.486772,277.422830,1.349906,189
Mean,30,24.573509,0.116300,0.600208,9.800279,1.172424,97.751323,263.766979,1.305602,189
KNN-Sklearn,30,24.573509,0.116300,0.600208,9.800279,1.172424,97.751323,263.766979,1.305602,189
ARIMA,30,27.261099,0.129020,0.665853,10.891814,1.293012,97.486772,269.851979,1.320965,189
